epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,34525.5,1.09062,0.75423,1.20049,0.97091,0.9524,0.97878,0.69626,1.07252,0.5008,1.14092,0.002773,0.002773,0.002773
148,34890,1.06865,0.72803,1.18852,0.96413,0.95052,0.97761,0.69499,1.07074,0.50043,1.14073,0.0027235,0.0027235,0.0027235
149,35214.7,1.07358,0.73712,1.19272,0.97238,0.94882,0.97953,0.69544,1.07464,0.50199,1.14082,0.002674,0.002674,0.002674
150,35381.4,1.07612,0.74988,1.19612,0.96979,0.95371,0.97758,0.69387,1.08431,0.5011,1.14138,0.0026245,0.0026245,0.0026245
151,35560.4,1.08539,0.75564,1.2084,0.96917,0.94809,0.97792,0.69227,1.08316,0.50257,1.14268,0.002575,0.002575,0.002575
152,35757,1.07349,0.74342,1.20376,0.96404,0.95403,0.97798,0.69704,1.07559,0.50077,1.13858,0.0025255,0.0025255,0.0025255
153,35954.4,1.05967,0.74087,1.18655,0.95966,0.95111,0.97774,0.69567,1.08505,0.5,1.14129,0.002476,0.002476,0.002476
154,36149.7,1.07174,0.7463,1.19447,0.96318,0.94995,0.97907,0.69659,1.0718,0.49749,1.13754,0.0024265,0.0024265,0.0024265
155,36344.2,1.06915,0.74447,1.1952,0.9758,0.93487,0.97689,0.69525,1.07702,0.50076,1.13962,0.002377,0.002377,0.002377
156,36541,1.064,0.73493,1.19271,0.96213,0.94482,0.9793,0.6995,1.06487,0.49845,1.1353,0.0023275,0.0023275,0.0023275
157,36742,1.06005,0.73034,1.1847,0.96181,0.94474,0.97929,0.69372,1.07584,0.49744,1.13646,0.002278,0.002278,0.002278
158,36940.5,1.05349,0.72728,1.17948,0.96847,0.94336,0.97974,0.69579,1.07392,0.49343,1.13486,0.0022285,0.0022285,0.0022285
159,37138.4,1.0544,0.73488,1.18826,0.96552,0.94293,0.97871,0.69771,1.07587,0.4898,1.13596,0.002179,0.002179,0.002179
160,37334.8,1.05618,0.74702,1.19445,0.96773,0.93786,0.98012,0.69366,1.08167,0.49098,1.13998,0.0021295,0.0021295,0.0021295
161,37514.5,1.04752,0.72139,1.18179,0.96974,0.94501,0.98146,0.70345,1.06193,0.48668,1.13322,0.00208,0.00208,0.00208
162,37683.8,1.03818,0.71838,1.1758,0.97475,0.94347,0.98008,0.70091,1.06231,0.49285,1.13272,0.0020305,0.0020305,0.0020305
163,37875.1,1.03907,0.71892,1.18055,0.97701,0.94314,0.98014,0.70174,1.06207,0.49379,1.13313,0.001981,0.001981,0.001981
164,38069.8,1.03959,0.7239,1.18341,0.97093,0.94401,0.97794,0.70354,1.04817,0.48958,1.12852,0.0019315,0.0019315,0.0019315
165,38265.1,1.04515,0.72506,1.18463,0.9681,0.94758,0.97809,0.70101,1.05377,0.49115,1.12826,0.001882,0.001882,0.001882
166,38464.4,1.02821,0.72028,1.1715,0.9738,0.94508,0.97815,0.70486,1.03633,0.48956,1.12244,0.0018325,0.0018325,0.0018325
167,38661.2,1.02977,0.7275,1.17769,0.97144,0.94407,0.97875,0.70688,1.03556,0.48493,1.12072,0.001783,0.001783,0.001783
168,38857.5,1.03344,0.72748,1.17158,0.97094,0.94439,0.97841,0.71103,1.02613,0.48635,1.11731,0.0017335,0.0017335,0.0017335
169,39178.5,1.04279,0.72796,1.18331,0.96722,0.94455,0.97859,0.71446,1.01002,0.48733,1.11326,0.001684,0.001684,0.001684
170,39547.4,1.00843,0.70537,1.15884,0.97043,0.94518,0.9782,0.71952,0.99842,0.48349,1.11172,0.0016345,0.0016345,0.0016345
171,39917.4,1.01868,0.7161,1.17113,0.97104,0.94546,0.97864,0.71752,1.00532,0.47895,1.11339,0.001585,0.001585,0.001585
172,40276.2,1.02262,0.70496,1.17967,0.97556,0.94553,0.98051,0.72002,0.99755,0.47778,1.11124,0.0015355,0.0015355,0.0015355
