frame,total,Platinum,Black,Pineapple
884,3,0,3,0
885,3,0,3,0
886,2,0,2,0
887,2,0,2,0
888,1,0,1,0
889,1,0,1,0
890,2,0,2,0
891,2,0,2,0
892,2,0,2,0
893,2,0,2,0
894,3,0,3,0
895,3,0,3,0
896,1,0,1,0
897,1,0,1,0
898,2,0,2,0
899,2,0,2,0
900,3,0,3,0
901,3,0,3,0
902,1,0,1,0
903,1,0,1,0
904,0,0,0,0
905,0,0,0,0
906,1,0,1,0
907,1,0,1,0
908,2,0,2,0
909,2,0,2,0
910,1,0,1,0
911,1,0,1,0
912,2,0,2,0
913,2,0,2,0
914,4,0,4,0
915,4,0,4,0
916,3,0,3,0
917,3,0,3,0
918,2,0,2,0
919,2,0,2,0
920,4,0,4,0
921,4,0,4,0
922,3,0,3,0
923,3,0,3,0
924,3,0,3,0
925,3,0,3,0
926,5,0,5,0
927,5,0,5,0
928,4,0,4,0
929,4,0,4,0
930,3,0,3,0
931,3,0,3,0
932,4,0,4,0
933,4,0,4,0
934,4,0,4,0
935,4,0,4,0
936,3,0,3,0
937,3,0,3,0
938,3,0,3,0
939,3,0,3,0
940,4,0,4,0
941,4,0,4,0
942,5,0,5,0
943,5,0,5,0
944,3,0,3,0
945,3,0,3,0
946,4,0,4,0
947,4,0,4,0
948,2,0,2,0
949,2,0,2,0
950,2,0,2,0
951,2,0,2,0
952,4,0,4,0
953,4,0,4,0
954,4,0,4,0
955,4,0,4,0
956,5,0,5,0
957,5,0,5,0
958,4,0,4,0
959,4,0,4,0
960,3,0,3,0
961,3,0,3,0
962,7,0,7,0
963,7,0,7,0
964,6,0,6,0
965,6,0,6,0
966,5,0,5,0
967,5,0,5,0
968,3,0,3,0
969,3,0,3,0
970,4,0,4,0
971,4,0,4,0
972,3,0,3,0
973,3,0,3,0
974,3,0,3,0
975,3,0,3,0
976,4,0,4,0
977,4,0,4,0
978,4,0,4,0
979,4,0,4,0
980,4,0,4,0
981,4,0,4,0
982,4,0,4,0
983,4,0,4,0
984,7,0,7,0
985,7,0,7,0
986,5,0,5,0
987,5,0,5,0
988,5,0,5,0
989,5,0,5,0
990,7,0,7,0
991,7,0,7,0
992,7,0,7,0
993,7,0,7,0
994,5,0,5,0
995,5,0,5,0
996,4,0,4,0
997,4,0,4,0
998,5,0,5,0
999,5,0,5,0
1000,4,0,4,0
1001,4,0,4,0
1002,2,0,2,0
1003,2,0,2,0
1004,1,0,1,0
1005,1,0,1,0
1006,1,0,1,0
1007,1,0,1,0
1008,1,0,1,0
1009,1,0,1,0
1010,3,0,3,0
1011,3,0,3,0
1012,2,0,2,0
1013,2,0,2,0
1014,2,0,2,0
1015,2,0,2,0
1016,3,0,3,0
1017,3,0,3,0
1018,3,0,3,0
1019,3,0,3,0
1020,1,0,1,0
1021,1,0,1,0
1022,2,0,2,0
1023,2,0,2,0
1024,2,0,2,0
1025,2,0,2,0
1026,2,0,2,0
1027,2,0,2,0
1028,1,0,1,0
1029,1,0,1,0
1030,1,0,1,0
1031,1,0,1,0
1032,3,0,3,0
1033,3,0,3,0
1034,1,0,1,0
1035,1,0,1,0
1036,2,0,2,0
1037,2,0,2,0
1038,3,0,3,0
1039,3,0,3,0
1040,3,0,3,0
1041,3,0,3,0
1042,2,0,2,0
1043,2,0,2,0
1044,4,0,4,0
1045,4,0,4,0
1046,1,0,1,0
1047,1,0,1,0
1048,1,0,1,0
1049,1,0,1,0
1050,1,0,1,0
1051,1,0,1,0
1052,1,0,1,0
1053,1,0,1,0
1054,1,0,1,0
1055,1,0,1,0
1056,1,0,1,0
1057,1,0,1,0
1058,1,0,1,0
1059,1,0,1,0
1060,2,0,2,0
1061,2,0,2,0
1062,1,0,1,0
1063,1,0,1,0
1064,3,0,3,0
1065,3,0,3,0
1066,5,0,5,0
1067,5,0,5,0
1068,3,0,3,0
1069,3,0,3,0
1070,2,0,2,0
1071,2,0,2,0
1072,2,0,2,0
1073,2,0,2,0
1074,3,0,3,0
1075,3,0,3,0
1076,4,0,4,0
1077,4,0,4,0
1078,4,0,4,0
1079,4,0,4,0
1080,2,0,2,0
1081,2,0,2,0
1082,2,0,2,0
1083,2,0,2,0
1084,1,0,1,0
1085,1,0,1,0
1086,0,0,0,0
1087,0,0,0,0
1088,1,0,1,0
1089,1,0,1,0
1090,0,0,0,0
1091,0,0,0,0
